date	hour	hour_dec	time_row	I	Tdb	rh	wind 	Patm	mdot_a
01_07_2021	1	1	1	0.0	12.8	90	2.5	97840	0.2
01_07_2021	2	2	2	0.0	12.8	90	1.4	97840	0.2
01_07_2021	3	3	3	0.0	12.9	88	1.4	97850	0.2
01_07_2021	4	4	4	8.3	12.7	91	1.8	97860	0.2
01_07_2021	5	5	5	27.8	13	87	2	97880	0.2
01_07_2021	6	6	6	55.6	13.1	90	2.2	97890	0.2
01_07_2021	7	7	7	58.3	13.6	85	1.9	97920	0.2
01_07_2021	8	8	8	161.1	14.4	80	2.5	97940	0.2
01_07_2021	9	9	9	161.1	15.3	77	3.1	97940	0.2
01_07_2021	10	10	10	266.7	16.1	71	3	97960	0.2
01_07_2021	11	11	11	158.3	13.4	89	4.5	97990	0.2
01_07_2021	12	12	12	261.1	15.3	73	4.3	98000	0.2
01_07_2021	13	13	13	275.0	15.7	71	3.9	98010	0.2
01_07_2021	14	14	14	77.8	15.8	72	3.4	98020	0.2
01_07_2021	15	15	15	119.4	15.5	75	5	98040	0.2
01_07_2021	16	16	16	94.4	15.8	68	4.4	98060	0.2
01_07_2021	17	17	17	97.2	16.1	67	3.8	98040	0.2
01_07_2021	18	18	18	83.3	16.5	63	3	98050	0.2
01_07_2021	19	19	19	19.4	15.9	69	3.1	98060	0.2
01_07_2021	20	20	20	0.0	15.6	73	1.5	98070	0.2
01_07_2021	21	21	21	0.0	15.6	72	1.4	98090	0.2
01_07_2021	22	22	22	0.0	15.3	72	1.5	98070	0.2
01_07_2021	23	23	23	0.0	14.9	73	1.4	98070	0.2
02_07_2021	0	0	24	0.0	14.1	77	1.8	98060	0.2
02_07_2021	1	1	25	0.0	14.1	77	1.8	98030	0.2
02_07_2021	2	2	26	0.0	13.7	79	2	98030	0.2
02_07_2021	3	3	27	0.0	13.4	79	1.9	98030	0.2
02_07_2021	4	4	28	16.7	13.4	79	2.4	98040	0.2
02_07_2021	5	5	29	86.1	13.5	82	1.2	98060	0.2
02_07_2021	6	6	30	244.4	15	76	1	98080	0.2
02_07_2021	7	7	31	461.1	17.3	66	2.7	98110	0.2
02_07_2021	8	8	32	544.4	17.4	59	4.4	98130	0.2
02_07_2021	9	9	33	561.1	18.5	54	4.3	98150	0.2
02_07_2021	10	10	34	808.3	19.3	54	4.5	98170	0.2
02_07_2021	11	11	35	827.8	19.7	49	4.5	98170	0.2
02_07_2021	12	12	36	877.8	19.9	48	4.8	98180	0.2
02_07_2021	13	13	37	769.4	20.2	47	4.9	98160	0.2
02_07_2021	14	14	38	744.4	21.3	46	3.9	98130	0.2
02_07_2021	15	15	39	497.2	20.9	47	3.7	98160	0.2
02_07_2021	16	16	40	480.6	21.7	49	3.4	98130	0.2
02_07_2021	17	17	41	333.3	21.6	50	4	98140	0.2
02_07_2021	18	18	42	163.9	21.2	46	3.6	98130	0.2
02_07_2021	19	19	43	30.6	20.3	52	2.4	98100	0.2
02_07_2021	20	20	44	0.0	19	57	1	98120	0.2
02_07_2021	21	21	45	0.0	18.1	62	1.1	98150	0.2
02_07_2021	22	22	46	0.0	16.6	71	1.5	98130	0.2
02_07_2021	23	23	47	0.0	15.4	76	2.5	98140	0.2
03_07_2021	0	0	48	0.0	15.1	79	3.6	98100	0.2
03_07_2021	1	1	49	0.0	14.1	84	2.9	98090	0.2
03_07_2021	2	2	50	0.0	13.5	87	2.1	98080	0.2
03_07_2021	3	3	51	0.0	12.8	89	2.3	98070	0.2
03_07_2021	4	4	52	27.8	12.5	91	2.8	98060	0.2
03_07_2021	5	5	53	158.3	13.8	84	2.4	98070	0.2
03_07_2021	6	6	54	313.9	15.6	76	3	98060	0.2
03_07_2021	7	7	55	472.2	17.7	66	2.1	98040	0.2
03_07_2021	8	8	56	594.4	19.9	63	1.9	98020	0.2
03_07_2021	9	9	57	744.4	21.6	53	2	97980	0.2
03_07_2021	10	10	58	833.3	23	48	2.2	97950	0.2
03_07_2021	11	11	59	905.6	23.3	41	2.2	97900	0.2
03_07_2021	12	12	60	922.2	24.4	39	1.8	97850	0.2
03_07_2021	13	13	61	897.2	25.3	40	1.8	97790	0.2
03_07_2021	14	14	62	680.6	25.1	36	2	97750	0.2
03_07_2021	15	15	63	472.2	25.4	38	1.8	97720	0.2
03_07_2021	16	16	64	113.9	24.6	42	1.7	97700	0.2
03_07_2021	17	17	65	52.8	23.9	43	1.6	97690	0.2
03_07_2021	18	18	66	27.8	23.2	47	2	97690	0.2
03_07_2021	19	19	67	2.8	20.5	65	2.2	97730	0.2
03_07_2021	20	20	68	0.0	18.3	78	3.9	97740	0.2
03_07_2021	21	21	69	0.0	17.8	83	3.2	97780	0.2
03_07_2021	22	22	70	0.0	17.6	85	2.7	97760	0.2
03_07_2021	23	23	71	0.0	17.9	78	1.2	97760	0.2
04_07_2021	0	0	72	0.0	17.4	80	2	97710	0.2
04_07_2021	1	1	73	0.0	17.2	81	2	97700	0.2
04_07_2021	2	2	74	0.0	16.6	85	1.4	97680	0.2
04_07_2021	3	3	75	0.0	16.4	85	1.8	97660	0.2
04_07_2021	4	4	76	33.3	15.9	90	1.8	97640	0.2
04_07_2021	5	5	77	72.2	17	86	2.8	97640	0.2
04_07_2021	6	6	78	213.9	17.9	81	2.6	97590	0.2
04_07_2021	7	7	79	452.8	19.4	75	2	97570	0.2
04_07_2021	8	8	80	619.4	20.5	68	1.9	97530	0.2
04_07_2021	9	9	81	711.1	21.5	60	1.8	97510	0.2
04_07_2021	10	10	82	402.8	21.1	63	2.9	97460	0.2
04_07_2021	11	11	83	350.0	22.2	58	2.3	97410	0.2
04_07_2021	12	12	84	352.8	22.7	56	1.9	97320	0.2
04_07_2021	13	13	85	438.9	22.2	68	2.5	97310	0.2
04_07_2021	14	14	86	347.2	21.1	73	3.4	97290	0.2
04_07_2021	15	15	87	311.1	21	66	4.6	97290	0.2
04_07_2021	16	16	88	144.4	21.1	65	4.6	97330	0.2
04_07_2021	17	17	89	97.2	18.1	69	7.2	97420	0.2
04_07_2021	18	18	90	36.1	17.7	69	5.3	97490	0.2
04_07_2021	19	19	91	19.4	16.8	78	1.7	97540	0.2
