L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  1        1.000    0.0     0.0     12.8    2.5     97840   0.0086  12.8     0.20000000 
Date        Hour_min Hour_dec t_min   Ins     Tamb    Wind    Patm    X       Tout_avg mdot_a     
01_07_2021  1        1.000    1.0     0.0     12.8    2.5     97840   0.0086  12.815   0.20000000 
01_07_2021  1        1.000    2.0     0.0     12.8    2.5     97840   0.0086  12.775   0.20000000 
01_07_2021  1        1.000    3.0     0.0     12.8    2.5     97840   0.0086  12.724   0.20000000 
01_07_2021  1        1.000    4.0     0.0     12.8    2.5     97840   0.0086  12.669   0.20000000 
01_07_2021  1        1.000    5.0     0.0     12.8    2.5     97840   0.0086  12.613   0.20000000 
01_07_2021  1        1.000    6.0     0.0     12.8    2.5     97840   0.0086  12.560   0.20000000 
01_07_2021  1        1.000    7.0     0.0     12.8    2.5     97840   0.0086  12.512   0.20000000 
01_07_2021  1        1.000    8.0     0.0     12.8    2.5     97840   0.0086  12.467   0.20000000 
01_07_2021  1        1.000    9.0     0.0     12.8    2.5     97840   0.0086  12.427   0.20000000 
01_07_2021  1        1.000    10.0    0.0     12.8    2.5     97840   0.0086  12.392   0.20000000 
01_07_2021  1        1.000    11.0    0.0     12.8    2.5     97840   0.0086  12.361   0.20000000 
01_07_2021  1        1.000    12.0    0.0     12.8    2.5     97840   0.0086  12.334   0.20000000 
01_07_2021  1        1.000    13.0    0.0     12.8    2.5     97840   0.0086  12.311   0.20000000 
01_07_2021  1        1.000    14.0    0.0     12.8    2.5     97840   0.0086  12.291   0.20000000 
01_07_2021  1        1.000    15.0    0.0     12.8    2.5     97840   0.0086  12.274   0.20000000 
01_07_2021  1        1.000    16.0    0.0     12.8    2.5     97840   0.0086  12.259   0.20000000 
01_07_2021  1        1.000    17.0    0.0     12.8    2.5     97840   0.0086  12.247   0.20000000 
01_07_2021  1        1.000    18.0    0.0     12.8    2.5     97840   0.0086  12.236   0.20000000 
01_07_2021  1        1.000    19.0    0.0     12.8    2.5     97840   0.0086  12.227   0.20000000 
01_07_2021  1        1.000    20.0    0.0     12.8    2.5     97840   0.0086  12.220   0.20000000 
01_07_2021  1        1.000    21.0    0.0     12.8    2.5     97840   0.0086  12.213   0.20000000 
01_07_2021  1        1.000    22.0    0.0     12.8    2.5     97840   0.0086  12.208   0.20000000 
01_07_2021  1        1.000    23.0    0.0     12.8    2.5     97840   0.0086  12.203   0.20000000 
01_07_2021  1        1.000    24.0    0.0     12.8    2.5     97840   0.0086  12.199   0.20000000 
01_07_2021  1        1.000    25.0    0.0     12.8    2.5     97840   0.0086  12.196   0.20000000 
01_07_2021  1        1.000    26.0    0.0     12.8    2.5     97840   0.0086  12.193   0.20000000 
01_07_2021  1        1.000    27.0    0.0     12.8    2.5     97840   0.0086  12.191   0.20000000 
01_07_2021  1        1.000    28.0    0.0     12.8    2.5     97840   0.0086  12.189   0.20000000 
01_07_2021  1        1.000    29.0    0.0     12.8    2.5     97840   0.0086  12.188   0.20000000 
01_07_2021  1        1.000    30.0    0.0     12.8    2.5     97840   0.0086  12.186   0.20000000 
01_07_2021  1        1.000    31.0    0.0     12.8    2.5     97840   0.0086  12.185   0.20000000 
01_07_2021  1        1.000    32.0    0.0     12.8    2.5     97840   0.0086  12.184   0.20000000 
01_07_2021  1        1.000    33.0    0.0     12.8    2.5     97840   0.0086  12.184   0.20000000 
01_07_2021  1        1.000    34.0    0.0     12.8    2.5     97840   0.0086  12.183   0.20000000 
01_07_2021  1        1.000    35.0    0.0     12.8    2.5     97840   0.0086  12.182   0.20000000 
01_07_2021  1        1.000    36.0    0.0     12.8    2.5     97840   0.0086  12.182   0.20000000 
01_07_2021  1        1.000    37.0    0.0     12.8    2.5     97840   0.0086  12.182   0.20000000 
01_07_2021  1        1.000    38.0    0.0     12.8    2.5     97840   0.0086  12.181   0.20000000 
01_07_2021  1        1.000    39.0    0.0     12.8    2.5     97840   0.0086  12.181   0.20000000 
01_07_2021  1        1.000    40.0    0.0     12.8    2.5     97840   0.0086  12.181   0.20000000 
01_07_2021  1        1.000    41.0    0.0     12.8    2.5     97840   0.0086  12.181   0.20000000 
01_07_2021  1        1.000    42.0    0.0     12.8    2.5     97840   0.0086  12.181   0.20000000 
01_07_2021  1        1.000    43.0    0.0     12.8    2.5     97840   0.0086  12.180   0.20000000 
01_07_2021  1        1.000    44.0    0.0     12.8    2.5     97840   0.0086  12.180   0.20000000 
01_07_2021  1        1.000    45.0    0.0     12.8    2.5     97840   0.0086  12.180   0.20000000 
